tipo_celular,module_size,TENT5A_MM,TENT5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.21,60.0,102,42,41.18,3.37 (2.71-4.03),60,58.82,3.60 (3.20-3.99)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.117,19.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,666.0,0.168,51.0,127,6,4.72,1.58 (0.91-2.25),121,95.28,4.00 (3.67-4.33)
GABA neurons expressing GLU receptors 22,823.0,0.193,59.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.099,26.0,297,3,1.01,4.78 (2.48-7.09),294,98.99,3.66 (3.45-3.86)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,140.0,0.04,11.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.1,75.0,276,39,14.13,2.54 (2.07-3.02),237,85.87,3.77 (3.54-4.00)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.312,62.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768.0,0.037,5.0,105,25,23.81,2.73 (2.04-3.41),80,76.19,3.38 (3.00-3.76)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.28,41.0,9,2,22.22,3.05 (2.02-4.09),7,77.78,4.21 (2.98-5.44)
astrocytes 4,220.0,0.163,49.0,63,14,22.22,3.09 (2.66-3.52),49,77.78,5.97 (5.40-6.53)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.139,84.0,290,20,6.9,4.03 (3.13-4.93),270,93.1,3.79 (3.56-4.03)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
