tipo_celular,module_size,TNFRSF21_MM,TNFRSF21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.067,1.0,353,19,5.38,2.09 (1.59-2.60),334,94.62,4.02 (3.84-4.21)
GABA neurons expressing GLU receptors 22,823.0,0.113,13.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,489.0,0.134,47.0,42,2,4.76,5.07 (4.64-5.50),40,95.24,6.06 (5.47-6.65)
da like neurons 11,77.0,0.271,47.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,77.0,0.149,37.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,586.0,0.285,64.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,938.0,0.184,75.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,3052.0,0.151,61.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.351,90.0,32,2,6.25,2.64 (2.44-2.84),30,93.75,3.29 (2.42-4.16)
oligodendrocytes 10,806.0,0.082,19.0,261,3,1.15,3.81 (1.33-6.29),258,98.85,4.37 (4.13-4.62)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,156.0,0.162,22.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,228.0,0.121,69.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.138,55.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.154,61.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.303,86.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
