tipo_celular,module_size,YY1_MM,YY1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.139,28.0,73,1,1.37,3.13 (NA-NA),72,98.63,3.57 (3.22-3.92)
T cells 18,727,0.077,5.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656,0.096,21.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,666,0.152,38.0,127,8,6.3,1.80 (1.18-2.42),119,93.7,4.04 (3.71-4.38)
GABA neurons expressing GLU receptors 22,848,0.131,15.0,262,14,5.34,2.22 (1.34-3.09),248,94.66,4.29 (4.05-4.54)
GLU like neurons 17,1316,0.094,22.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,265,0.069,4.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,77,0.251,94.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,385,0.166,84.0,275,75,27.27,2.56 (2.25-2.87),200,72.73,4.84 (4.56-5.12)
oligodendrocytes 20,275,0.116,17.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.105,21.0,125,3,2.4,3.33 (2.92-3.75),122,97.6,3.35 (3.02-3.69)
astrocytes 8,520,0.047,11.0,288,6,2.08,2.34 (0.98-3.71),282,97.92,4.22 (4.02-4.42)
oligodendrocyte progenitor cells 12,3303,0.089,63.0,276,57,20.65,2.17 (1.95-2.38),219,79.35,4.04 (3.80-4.28)
oligodendrocytes 10,483,0.12,50.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,139,0.225,13.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1401,0.09,55.0,96,10,10.42,2.58 (1.79-3.38),86,89.58,3.74 (3.26-4.23)
oligodendrocytes 16,88,0.174,37.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.079,12.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,83,0.274,35.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.16,68.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.188,84.0,127,22,17.32,2.39 (1.99-2.80),105,82.68,3.27 (2.75-3.80)
microglia 1,958,0.128,73.0,290,30,10.34,3.21 (2.65-3.77),260,89.66,3.90 (3.65-4.15)
oligodendrocytes 3,357,0.052,11.0,127,5,3.94,3.50 (2.57-4.42),122,96.06,3.10 (2.76-3.45)
oligodendrocytes 2,528,0.173,32.0,175,6,3.43,3.88 (2.47-5.28),169,96.57,4.41 (4.04-4.77)
