tipo_celular,module_size,RBM41_MM,RBM41_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.15,43.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,477.0,0.129,28.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.121,58.0,136,9,6.62,1.93 (1.48-2.38),127,93.38,3.31 (3.03-3.59)
oligodendrocyte progenitor cells 7,4285.0,0.168,93.0,353,34,9.63,1.75 (1.38-2.12),319,90.37,4.20 (4.02-4.37)
GABA neurons expressing GLU receptors 22,1069.0,0.132,25.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66)
GLU like neurons 17,1247.0,0.077,13.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,209.0,0.112,16.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.091,21.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,250.0,0.027,5.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.157,65.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.065,21.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.131,94.0,276,21,7.61,1.64 (1.32-1.95),255,92.39,3.75 (3.53-3.97)
oligodendrocytes 10,2107.0,0.127,42.0,358,34,9.5,1.75 (1.38-2.12),324,90.5,4.17 (3.99-4.35)
connective tissue cells 21,152.0,0.166,11.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,443.0,0.235,92.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,51.0,0.308,90.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,53.0,0.35,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.151,62.0,104,23,22.12,1.50 (1.19-1.81),81,77.88,3.29 (3.00-3.59)
oligodendrocytes 0,2078.0,0.137,91.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90)
microglia 1,1615.0,0.14,84.0,161,25,15.53,1.23 (0.95-1.51),136,84.47,3.75 (3.50-4.00)
oligodendrocytes 3,681.0,0.095,50.0,87,18,20.69,1.31 (1.05-1.57),69,79.31,2.95 (2.67-3.23)
oligodendrocytes 2,1630.0,0.131,28.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
