tipo_celular,module_size,SLC25A17_MM,SLC25A17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.148,39.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,282.0,0.216,77.0,12,1,8.33,6.08 (NA-NA),11,91.67,3.05 (1.95-4.15)
astrocytes 5,1656.0,0.11,40.0,136,4,2.94,NA,132,97.06,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,24,6.8,2.14 (1.19-3.08),329,93.2,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,823.0,0.169,44.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.091,19.0,133,9,6.77,1.20 (0.34-2.07),124,93.23,3.43 (3.12-3.74)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.361,92.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,3052.0,0.105,21.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61)
astrocytes 8,1266.0,0.07,37.0,66,8,12.12,1.07 (0.28-1.86),58,87.88,3.58 (3.19-3.97)
oligodendrocyte progenitor cells 12,708.0,0.053,18.0,32,9,28.12,1.52 (0.61-2.44),23,71.88,4.06 (3.15-4.97)
oligodendrocytes 10,2107.0,0.088,22.0,358,16,4.47,1.74 (0.87-2.61),342,95.53,4.00 (3.81-4.18)
connective tissue cells 21,100.0,0.236,36.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1401.0,0.071,36.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09)
oligodendrocytes 16,69.0,0.271,86.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.389,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.157,72.0,104,9,8.65,1.63 (0.78-2.48),95,91.35,2.99 (2.70-3.28)
oligodendrocytes 0,2078.0,0.103,28.0,238,5,2.1,2.76 (-0.65-6.17),233,97.9,3.65 (3.43-3.87)
microglia 1,813.0,0.084,11.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54)
oligodendrocytes 3,1003.0,0.057,10.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.14,47.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
