tipo_celular,module_size,PHKA2_MM,PHKA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.182,52.0,73,5,6.85,4.17 (3.91-4.43),68,93.15,3.51 (3.14-3.88)
T cells 18,477.0,0.047,1.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932.0,0.125,74.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,26,7.37,2.64 (2.01-3.27),327,92.63,4.02 (3.83-4.21)
GABA neurons expressing GLU receptors 22,823.0,0.113,13.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69)
GLU like neurons 17,1316.0,0.05,2.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.06,19.0,169,4,2.37,1.48 (0.13-2.82),165,97.63,3.54 (3.32-3.76)
GABA like neurons 14,2090.0,0.12,26.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,727.0,0.055,15.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,18,6.52,2.54 (1.91-3.16),258,93.48,3.64 (3.41-3.86)
oligodendrocytes 10,2107.0,0.098,28.0,358,25,6.98,2.52 (1.91-3.13),333,93.02,4.00 (3.80-4.20)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.183,73.0,14,1,7.14,1.71 (NA-NA),13,92.86,2.18 (0.80-3.57)
oligodendrocytes 16,113.0,0.224,59.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.288,46.0,9,2,22.22,2.85 (2.21-3.49),7,77.78,4.27 (3.06-5.47)
astrocytes 4,721.0,0.154,54.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36)
oligodendrocytes 0,2078.0,0.1,22.0,238,7,2.94,2.56 (1.77-3.36),231,97.06,3.67 (3.45-3.90)
microglia 1,1615.0,0.081,11.0,161,23,14.29,2.41 (1.81-3.01),138,85.71,3.45 (3.16-3.74)
oligodendrocytes 3,639.0,0.051,9.0,15,5,33.33,1.93 (0.82-3.03),10,66.67,4.18 (2.26-6.10)
oligodendrocytes 2,1630.0,0.118,12.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
