tipo_celular,module_size,REST_MM,REST_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.336,99.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,506.0,0.104,14.0,225,23,10.22,3.17 (2.45-3.89),202,89.78,3.68 (3.42-3.95)
astrocytes 5,1656.0,0.14,86.0,136,9,6.62,1.98 (1.50-2.47),127,93.38,3.31 (3.03-3.59)
oligodendrocyte progenitor cells 7,666.0,0.114,12.0,127,19,14.96,3.08 (2.30-3.86),108,85.04,4.05 (3.69-4.40)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.136,41.0,155,3,1.94,3.75 (3.24-4.27),152,98.06,4.35 (3.98-4.73)
oligodendrocytes 20,322.0,0.082,31.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,727.0,0.117,57.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.099,45.0,32,16,50.0,2.33 (1.54-3.11),16,50.0,4.47 (3.17-5.78)
oligodendrocytes 10,483.0,0.132,55.0,129,1,0.78,7.59 (NA-NA),128,99.22,3.39 (3.00-3.77)
connective tissue cells 21,136.0,0.269,43.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,268.0,0.035,6.0,10,4,40.0,4.84 (2.07-7.60),6,60.0,2.54 (1.00-4.09)
oligodendrocytes 16,313.0,0.093,3.0,291,19,6.53,3.74 (2.99-4.48),272,93.47,4.38 (4.15-4.62)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.292,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.147,55.0,104,27,25.96,1.74 (1.40-2.08),77,74.04,3.30 (2.99-3.61)
oligodendrocytes 0,2078.0,0.12,62.0,238,23,9.66,2.92 (2.44-3.39),215,90.34,3.72 (3.49-3.96)
microglia 1,1615.0,0.085,16.0,161,61,37.89,2.18 (1.90-2.45),100,62.11,4.19 (3.88-4.49)
oligodendrocytes 3,1003.0,0.045,3.0,111,4,3.6,3.61 (2.38-4.83),107,96.4,3.29 (2.93-3.64)
oligodendrocytes 2,1630.0,0.125,20.0,154,2,1.3,5.50 (0.04-10.95),152,98.7,3.21 (2.95-3.47)
