tipo_celular,module_size,LASP1_MM,LASP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.257,71.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727.0,0.166,66.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932.0,0.116,62.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.097,8.0,353,9,2.55,1.07 (0.61-1.53),344,97.45,3.99 (3.80-4.17)
GABA neurons expressing GLU receptors 22,703.0,0.222,72.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.093,21.0,133,4,3.01,0.98 (0.32-1.65),129,96.99,3.34 (3.03-3.65)
GABA neurons expressing GABA receptors 13,77.0,0.173,58.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,303.0,0.066,10.0,54,5,9.26,4.29 (NA-NA),49,90.74,4.85 (4.21-5.50)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.158,53.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.098,66.0,66,7,10.61,1.60 (0.60-2.59),59,89.39,3.45 (3.03-3.88)
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,8,2.9,1.68 (1.28-2.09),268,97.1,3.61 (3.39-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,142.0,0.279,27.0,55,3,5.45,0.39 (NA-NA),52,94.55,3.53 (2.69-4.37)
astrocytes 15,1401.0,0.067,32.0,96,12,12.5,3.76 (2.20-5.31),84,87.5,3.60 (3.13-4.07)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.134,62.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,54.0,0.301,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.147,42.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.112,52.0,290,5,1.72,1.80 (1.54-2.06),285,98.28,3.85 (3.62-4.08)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
