tipo_celular,module_size,TMEM87B_MM,TMEM87B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.219,71.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,624.0,0.176,70.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.114,47.0,136,3,2.21,3.57 (2.64-4.51),133,97.79,3.20 (2.92-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,17,4.82,2.37 (1.35-3.38),336,95.18,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,489.0,0.128,42.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,120.0,0.231,46.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.276,72.0,120,2,1.67,2.66 (1.36-3.95),118,98.33,4.65 (4.33-4.96)
oligodendrocytes 20,221.0,0.564,98.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.188,86.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.059,26.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,9,3.26,2.75 (2.23-3.28),267,96.74,3.58 (3.35-3.80)
oligodendrocytes 10,2107.0,0.154,53.0,358,15,4.19,2.40 (1.25-3.56),343,95.81,3.95 (3.76-4.14)
connective tissue cells 21,116.0,0.305,65.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,338.0,0.174,67.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,104.0,0.213,49.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.266,16.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.14,41.0,104,5,4.81,2.30 (0.67-3.92),99,95.19,2.89 (2.61-3.18)
oligodendrocytes 0,2078.0,0.081,5.0,238,6,2.52,2.61 (1.46-3.76),232,97.48,3.67 (3.44-3.89)
microglia 1,1615.0,0.126,73.0,161,12,7.45,1.62 (0.77-2.48),149,92.55,3.44 (3.17-3.70)
oligodendrocytes 3,1003.0,0.066,17.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.135,36.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
