tipo_celular,module_size,FAM174A_MM,FAM174A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,400.0,0.259,82.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67)
GLU like neurons 17,489.0,0.067,5.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,71.0,0.196,46.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77.0,0.141,27.0,8,0,0.0,NA,8,100.0,3.16 (2.15-4.16)
endothelial cells 9,559.0,0.039,1.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.166,30.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.074,10.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,95.0,0.279,23.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
