tipo_celular,module_size,EEF1B2_MM,EEF1B2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.282,59.0,98,10,10.2,1.79 (1.11-2.47),88,89.8,3.43 (2.92-3.94)
T cells 18,506.0,0.178,48.0,225,14,6.22,2.12 (1.61-2.64),211,93.78,3.74 (3.48-4.00)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,67.0,0.207,73.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916.0,0.267,65.0,302,4,1.32,2.06 (0.05-4.07),298,98.68,4.01 (3.78-4.23)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.387,78.0,455,22,4.84,1.42 (1.01-1.82),433,95.16,4.55 (4.38-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.102,24.0,182,4,2.2,1.44 (1.34-1.53),178,97.8,3.70 (3.45-3.95)
astrocytes microglia 23,43.0,0.259,8.0,3,1,33.33,NA,2,66.67,1.82 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,406.0,0.412,80.0,278,2,0.72,2.60 (NA-NA),276,99.28,4.37 (4.10-4.64)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
