tipo_celular,module_size,BRD3_MM,BRD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.131,39.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,49,13.88,2.02 (1.68-2.35),304,86.12,4.26 (4.08-4.44)
GABA neurons expressing GLU receptors 22,487.0,0.243,61.0,73,4,5.48,1.44 (1.34-1.53),69,94.52,2.84 (2.44-3.24)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.078,10.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,938.0,0.088,31.0,169,7,4.14,2.31 (1.11-3.50),162,95.86,3.54 (3.32-3.76)
GABA like neurons 14,2402.0,0.137,20.0,455,19,4.18,1.60 (1.01-2.19),436,95.82,4.51 (4.33-4.69)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.086,60.0,276,37,13.41,2.03 (1.70-2.36),239,86.59,3.84 (3.62-4.07)
oligodendrocytes 10,483.0,0.03,3.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,92.0,0.195,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.365,82.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.099,20.0,238,12,5.04,2.37 (1.68-3.06),226,94.96,3.71 (3.48-3.94)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,32.0,0.032,4.0,81,0,0.0,NA,81,100.0,4.04 (3.74-4.34)
oligodendrocytes 2,1630.0,0.158,82.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
