tipo_celular,module_size,CERS5_MM,CERS5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.161,57.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,477.0,0.077,3.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.134,79.0,136,7,5.15,3.70 (2.74-4.67),129,94.85,3.18 (2.90-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,16,4.53,1.42 (0.85-1.99),337,95.47,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,714.0,0.104,9.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,1247.0,0.108,31.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204.0,0.065,6.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.112,37.0,297,2,0.67,3.04 (2.03-4.05),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,322.0,0.145,60.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.142,53.0,125,2,1.6,3.56 (3.56-3.56),123,98.4,3.35 (3.02-3.68)
astrocytes 8,260.0,0.119,48.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66)
oligodendrocyte progenitor cells 12,3303.0,0.018,1.0,276,6,2.17,1.91 (1.04-2.77),270,97.83,3.59 (3.37-3.81)
oligodendrocytes 10,2107.0,0.052,6.0,358,13,3.63,1.16 (0.58-1.75),345,96.37,4.00 (3.81-4.18)
connective tissue cells 21,118.0,0.319,65.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1401.0,0.037,7.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,51.0,0.313,92.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,115.0,0.333,66.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.149,59.0,104,13,12.5,2.59 (1.67-3.51),91,87.5,2.90 (2.61-3.20)
oligodendrocytes 0,2078.0,0.114,48.0,238,4,1.68,2.24 (0.84-3.64),234,98.32,3.66 (3.44-3.89)
microglia 1,958.0,0.104,39.0,290,1,0.34,4.07 (NA-NA),289,99.66,3.81 (3.58-4.04)
oligodendrocytes 3,639.0,0.042,3.0,15,6,40.0,1.20 (0.31-2.09),9,60.0,5.12 (3.78-6.47)
oligodendrocytes 2,1630.0,0.154,76.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
