tipo_celular,module_size,GNPAT_MM,GNPAT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.243,71.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,624.0,0.106,17.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.133,79.0,136,5,3.68,1.32 (NA-NA),131,96.32,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,31,8.78,2.47 (1.75-3.18),322,91.22,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,1069.0,0.147,37.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.062,4.0,297,2,0.67,3.04 (2.03-4.05),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,279.0,0.252,64.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.104,20.0,125,5,4.0,4.88 (3.82-5.95),120,96.0,3.27 (2.94-3.60)
astrocytes 8,218.0,0.044,15.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,708.0,0.105,48.0,32,9,28.12,1.53 (0.61-2.46),23,71.88,4.06 (3.15-4.97)
oligodendrocytes 10,2107.0,0.103,30.0,358,18,5.03,1.74 (1.04-2.44),340,94.97,4.01 (3.83-4.20)
connective tissue cells 21,125.0,0.34,68.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1401.0,0.057,23.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,113.0,0.236,90.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.322,50.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,1807.0,0.165,86.0,104,11,10.58,1.71 (1.14-2.27),93,89.42,3.01 (2.72-3.31)
oligodendrocytes 0,2078.0,0.112,45.0,238,6,2.52,2.24 (0.84-3.64),232,97.48,3.66 (3.44-3.89)
microglia 1,1615.0,0.096,29.0,161,18,11.18,1.52 (1.00-2.04),143,88.82,3.55 (3.28-3.82)
oligodendrocytes 3,357.0,0.049,8.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.136,38.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
