tipo_celular,module_size,UTRN_MM,UTRN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.267,82.0,73,2,2.74,4.52 (NA-NA),71,97.26,3.55 (3.20-3.90)
T cells 18,393.0,0.154,51.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,156.0,0.098,13.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,200.0,0.354,92.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,714.0,0.293,90.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12)
GLU like neurons 17,795.0,0.228,82.0,80,5,6.25,4.40 (2.34-6.46),75,93.75,5.81 (5.41-6.21)
da like neurons 11,71.0,0.404,78.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.221,52.0,62,3,4.84,2.43 (NA-NA),59,95.16,4.08 (3.63-4.53)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.153,62.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.36,99.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.181,100.0,276,17,6.16,1.84 (1.45-2.22),259,93.84,3.69 (3.47-3.91)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147.0,0.248,57.0,4,1,25.0,5.06 (NA-NA),3,75.0,5.43 (4.83-6.04)
astrocytes 15,418.0,0.275,67.0,54,9,16.67,3.79 (3.13-4.44),45,83.33,3.66 (3.14-4.18)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.085,21.0,122,18,14.75,1.74 (1.01-2.47),104,85.25,4.39 (4.00-4.77)
astrocytes microglia 23,166.0,0.288,52.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,161.0,0.157,39.0,45,2,4.44,NA,43,95.56,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.142,36.0,144,4,2.78,3.23 (2.20-4.26),140,97.22,4.50 (4.19-4.81)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
