tipo_celular,module_size,ZBTB43_MM,ZBTB43_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.093,10.0,71,5,7.04,1.47 (0.79-2.14),66,92.96,2.73 (2.29-3.16)
T cells 18,624.0,0.176,70.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.101,27.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,34,9.63,1.65 (1.40-1.90),319,90.37,4.21 (4.03-4.39)
GABA neurons expressing GLU receptors 22,567.0,0.133,21.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.127,53.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,145.0,0.077,6.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.104,29.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88)
oligodendrocytes 20,403.0,0.052,19.0,18,4,22.22,0.64 (0.36-0.92),14,77.78,2.23 (1.46-3.01)
GABA like neurons 14,3052.0,0.212,95.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.074,40.0,83,4,4.82,1.55 (0.88-2.21),79,95.18,3.33 (2.87-3.79)
oligodendrocyte progenitor cells 12,708.0,0.079,34.0,32,3,9.38,0.35 (0.26-0.44),29,90.62,3.59 (2.79-4.40)
oligodendrocytes 10,1277.0,0.027,2.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,126.0,0.373,93.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,1768.0,0.101,64.0,105,11,10.48,1.13 (0.84-1.42),94,89.52,3.48 (3.14-3.81)
oligodendrocytes 16,155.0,0.265,74.0,8,1,12.5,0.40 (NA-NA),7,87.5,3.29 (-0.08-6.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,49.0,0.329,38.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,721.0,0.161,70.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.131,84.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,958.0,0.096,26.0,290,6,2.07,1.17 (0.84-1.50),284,97.93,3.87 (3.64-4.10)
oligodendrocytes 3,639.0,0.084,39.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,921.0,0.129,36.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
