tipo_celular,module_size,IDH2_MM,IDH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.108,16.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,282.0,0.189,63.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.091,23.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.094,6.0,353,18,5.1,1.26 (0.81-1.70),335,94.9,4.06 (3.89-4.24)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.19,66.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.082,6.0,74,2,2.7,1.98 (0.90-3.05),72,97.3,2.97 (2.59-3.36)
astrocytes 8,1266.0,0.139,84.0,66,9,13.64,1.10 (0.50-1.70),57,86.36,3.62 (3.23-4.02)
oligodendrocyte progenitor cells 12,708.0,0.03,3.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,483.0,0.135,57.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.136,87.0,105,9,8.57,1.53 (0.94-2.11),96,91.43,3.38 (3.04-3.73)
oligodendrocytes 16,86.0,0.268,93.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.262,38.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,251.0,0.141,34.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,309.0,0.087,6.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.083,13.0,161,16,9.94,1.14 (0.73-1.55),145,90.06,3.57 (3.31-3.83)
oligodendrocytes 3,639.0,0.067,24.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13)
oligodendrocytes 2,526.0,0.152,16.0,213,7,3.29,3.96 (3.79-4.14),206,96.71,3.98 (3.69-4.27)
