tipo_celular,module_size,HIVEP3_MM,HIVEP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.366,80.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,393.0,0.241,82.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,499.0,0.141,37.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,40,11.33,1.76 (1.49-2.03),313,88.67,4.26 (4.08-4.43)
GABA neurons expressing GLU receptors 22,459.0,0.111,26.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,489.0,0.194,78.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,200.0,0.33,89.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.193,87.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.219,83.0,18,7,38.89,0.68 (0.46-0.91),11,61.11,2.64 (1.80-3.47)
GABA like neurons 14,1300.0,0.353,97.0,306,5,1.63,0.97 (0.42-1.52),301,98.37,5.19 (4.94-5.45)
astrocytes 8,1266.0,0.1,67.0,66,9,13.64,1.14 (0.42-1.86),57,86.36,3.62 (3.23-4.01)
oligodendrocyte progenitor cells 12,708.0,0.098,42.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.298,100.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,73.0,0.17,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.094,18.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,199.0,0.226,83.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.176,8.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,201.0,0.134,20.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,187.0,0.239,77.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,315.0,0.176,52.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,242.0,0.273,93.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.305,87.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
