tipo_celular,module_size,BCAR3_MM,BCAR3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.248,82.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.216,54.0,98,3,3.06,2.40 (0.37-4.43),95,96.94,4.68 (4.28-5.09)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,599.0,0.295,84.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.139,56.0,135,30,22.22,2.33 (1.85-2.80),105,77.78,3.43 (3.08-3.79)
da like neurons 11,200.0,0.213,62.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.236,62.0,120,30,25.0,3.88 (3.38-4.38),90,75.0,4.89 (4.51-5.26)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.099,17.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,279.0,0.356,89.0,78,23,29.49,4.08 (3.38-4.78),55,70.51,4.43 (3.91-4.94)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,69.0,0.27,37.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,208.0,0.471,86.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.193,13.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,251.0,0.109,10.0,34,3,8.82,3.18 (1.69-4.67),31,91.18,5.53 (4.95-6.11)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.177,96.0,290,12,4.14,2.54 (1.78-3.29),278,95.86,3.88 (3.65-4.12)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
