tipo_celular,module_size,STK35_MM,STK35_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.095,11.0,80,1,1.25,3.78 (NA-NA),79,98.75,3.40 (2.92-3.88)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,23,6.52,2.25 (1.64-2.86),330,93.48,4.03 (3.85-4.22)
GABA neurons expressing GLU receptors 22,823.0,0.136,23.0,23,5,21.74,4.06 (3.48-4.64),18,78.26,1.92 (1.17-2.67)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.075,4.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.051,15.0,66,18,27.27,2.46 (1.77-3.14),48,72.73,3.58 (3.09-4.07)
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,15,5.43,2.92 (2.32-3.52),261,94.57,3.59 (3.36-3.82)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.24,92.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.407,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.125,18.0,104,13,12.5,2.18 (1.62-2.73),91,87.5,2.96 (2.65-3.27)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
