tipo_celular,module_size,GIT1_MM,GIT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.092,13.0,68,22,32.35,3.56 (2.78-4.34),46,67.65,4.84 (4.12-5.55)
astrocytes 5,932.0,0.154,92.0,80,15,18.75,5.73 (4.59-6.86),65,81.25,3.39 (3.00-3.78)
oligodendrocyte progenitor cells 7,4285.0,0.105,12.0,353,58,16.43,2.42 (2.02-2.81),295,83.57,4.25 (4.06-4.43)
GABA neurons expressing GLU receptors 22,848.0,0.252,65.0,262,33,12.6,3.61 (3.03-4.19),229,87.4,4.26 (3.99-4.53)
GLU like neurons 17,637.0,0.071,8.0,91,33,36.26,3.02 (2.37-3.67),58,63.74,5.84 (5.35-6.33)
da like neurons 11,853.0,0.123,43.0,133,34,25.56,2.17 (1.74-2.60),99,74.44,3.72 (3.36-4.08)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.104,18.0,141,12,8.51,2.94 (2.04-3.84),129,91.49,2.96 (2.71-3.21)
oligodendrocytes 20,358.0,0.208,74.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090.0,0.13,33.0,74,3,4.05,1.81 (1.43-2.19),71,95.95,3.00 (2.61-3.38)
astrocytes 8,1266.0,0.058,24.0,66,32,48.48,2.83 (2.23-3.42),34,51.52,3.67 (3.11-4.23)
oligodendrocyte progenitor cells 12,3303.0,0.03,2.0,276,44,15.94,2.65 (2.19-3.10),232,84.06,3.77 (3.53-4.00)
oligodendrocytes 10,806.0,0.084,20.0,261,39,14.94,4.11 (3.67-4.56),222,85.06,4.42 (4.14-4.69)
connective tissue cells 21,100.0,0.135,4.0,8,1,12.5,NA,7,87.5,1.58 (-0.37-3.52)
astrocytes 15,1768.0,0.049,13.0,105,17,16.19,1.81 (1.29-2.33),88,83.81,3.51 (3.15-3.87)
oligodendrocytes 16,74.0,0.23,68.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.096,25.0,124,9,7.26,4.22 (2.69-5.76),115,92.74,4.18 (3.77-4.59)
astrocytes microglia 23,132.0,0.324,52.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.17,81.0,61,4,6.56,3.21 (1.01-5.42),57,93.44,2.95 (2.53-3.37)
oligodendrocytes 0,613.0,0.145,53.0,127,11,8.66,2.20 (1.71-2.70),116,91.34,3.19 (2.72-3.65)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.099,55.0,87,31,35.63,2.20 (1.77-2.62),56,64.37,2.82 (2.48-3.15)
oligodendrocytes 2,921.0,0.128,34.0,200,11,5.5,3.52 (2.54-4.49),189,94.5,3.63 (3.35-3.91)
