tipo_celular,module_size,TMEM50B_MM,TMEM50B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.443,100.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,393,0.173,61.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656,0.134,79.0,136,3,2.21,3.72 (2.82-4.61),133,97.79,3.20 (2.92-3.47)
oligodendrocyte progenitor cells 7,4285,0.133,47.0,353,17,4.82,1.79 (1.09-2.49),336,95.18,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,487,0.186,38.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1316,0.102,30.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,108,0.065,3.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,93,0.107,8.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,559,0.149,46.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,253,0.164,55.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.234,51.0,455,13,2.86,1.75 (0.94-2.55),442,97.14,4.45 (4.27-4.63)
astrocytes 8,577,0.06,27.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303,0.059,25.0,276,11,3.99,2.62 (1.91-3.33),265,96.01,3.59 (3.37-3.82)
oligodendrocytes 10,806,0.119,34.0,261,6,2.3,2.24 (1.59-2.88),255,97.7,4.43 (4.19-4.67)
connective tissue cells 21,145,0.344,75.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,377,0.173,68.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,87,0.158,28.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.066,6.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,110,0.286,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.15,48.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.119,61.0,238,6,2.52,2.86 (1.51-4.21),232,97.48,3.66 (3.44-3.88)
microglia 1,813,0.19,91.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52)
oligodendrocytes 3,854,0.075,31.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,921,0.114,15.0,200,5,2.5,2.88 (2.03-3.74),195,97.5,3.64 (3.37-3.92)
