tipo_celular,module_size,PELI1_MM,PELI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.17,33.0,140,9,6.43,3.02 (1.99-4.05),131,93.57,4.66 (4.38-4.95)
T cells 18,610.0,0.231,91.0,98,22,22.45,2.63 (2.07-3.20),76,77.55,3.28 (2.91-3.65)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.241,84.0,127,14,11.02,2.32 (1.80-2.84),113,88.98,4.13 (3.77-4.48)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.465,100.0,141,6,4.26,2.41 (0.94-3.88),135,95.74,2.99 (2.75-3.23)
oligodendrocytes 20,348.0,0.22,79.0,33,5,15.15,2.95 (2.75-3.16),28,84.85,2.69 (2.11-3.27)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.102,46.0,32,5,15.62,2.52 (1.34-3.70),27,84.38,3.40 (2.46-4.35)
oligodendrocytes 10,2107.0,0.255,83.0,358,44,12.29,2.65 (2.20-3.11),314,87.71,4.06 (3.85-4.26)
connective tissue cells 21,100.0,0.337,79.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,108.0,0.178,51.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.304,80.0,47,4,8.51,2.41 (-0.47-5.28),43,91.49,2.87 (2.54-3.20)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.144,96.0,238,16,6.72,3.37 (2.60-4.14),222,93.28,3.65 (3.42-3.88)
microglia 1,315.0,0.113,20.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,1003.0,0.099,53.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,921.0,0.135,46.0,200,2,1.0,2.73 (1.22-4.24),198,99.0,3.63 (3.36-3.90)
