tipo_celular,module_size,CRIM1_MM,CRIM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.241,88.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.18,69.0,80,4,5.0,3.47 (1.84-5.10),76,95.0,3.40 (2.90-3.89)
oligodendrocyte progenitor cells 7,666.0,0.142,30.0,127,13,10.24,2.62 (1.93-3.30),114,89.76,4.05 (3.69-4.41)
GABA neurons expressing GLU receptors 22,599.0,0.406,97.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.17 (1.35-2.99)
GLU like neurons 17,685.0,0.269,88.0,135,11,8.15,2.35 (1.58-3.12),124,91.85,3.28 (2.95-3.60)
da like neurons 11,102.0,0.187,33.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74)
GABA neurons expressing GABA receptors 13,265.0,0.171,58.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,412.0,0.372,97.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,253.0,0.053,13.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.126,38.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.186,90.0,83,4,4.82,3.11 (1.38-4.85),79,95.18,3.26 (2.79-3.73)
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,10,3.62,2.65 (1.74-3.57),266,96.38,3.59 (3.36-3.81)
oligodendrocytes 10,1277.0,0.035,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,147.0,0.214,38.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,1768.0,0.098,61.0,105,8,7.62,2.05 (1.29-2.81),97,92.38,3.32 (2.97-3.67)
oligodendrocytes 16,91.0,0.208,47.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.222,15.0,120,20,16.67,2.49 (1.99-2.99),100,83.33,3.88 (3.55-4.21)
astrocytes 4,514.0,0.238,73.0,95,5,5.26,1.16 (0.64-1.68),90,94.74,3.50 (3.07-3.92)
oligodendrocytes 0,1186.0,0.152,62.0,300,12,4.0,3.81 (3.38-4.24),288,96.0,3.79 (3.58-4.01)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.118,70.0,87,4,4.6,1.94 (0.97-2.91),83,95.4,2.62 (2.34-2.90)
oligodendrocytes 2,348.0,0.114,7.0,114,11,9.65,3.21 (2.74-3.68),103,90.35,5.41 (4.98-5.84)
