tipo_celular,module_size,ST18_MM,ST18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.668,98.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.78,100.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.803,100.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.685,100.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637.0,0.716,100.0,91,7,7.69,0.69 (0.08-1.30),84,92.31,4.98 (4.52-5.44)
da like neurons 11,408.0,0.789,100.0,25,4,16.0,0.74 (0.41-1.07),21,84.0,5.58 (4.35-6.82)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.785,100.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.256,48.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,3052.0,0.011,1.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.88,100.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.806,100.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.672,100.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.822,100.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,458.0,0.766,100.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,199.0,0.275,96.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.599,93.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,102.0,0.672,100.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,261.0,0.097,7.0,42,8,19.05,1.36 (1.04-1.68),34,80.95,4.96 (4.41-5.52)
microglia 1,127.0,0.607,97.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,242.0,0.148,59.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,237.0,0.228,58.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
