tipo_celular,module_size,GOLIM4_MM,GOLIM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.173,56.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,624.0,0.296,99.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.154,79.0,166,4,2.41,1.86 (1.00-2.71),162,97.59,3.44 (3.18-3.69)
oligodendrocyte progenitor cells 7,448.0,0.177,75.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,289.0,0.093,11.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.104,27.0,155,2,1.29,5.92 (5.59-6.25),153,98.71,4.31 (3.94-4.68)
oligodendrocytes 20,938.0,0.08,27.0,169,6,3.55,2.73 (2.24-3.22),163,96.45,3.51 (3.29-3.74)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,354.0,0.151,67.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,103.0,0.511,86.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,2107.0,0.182,63.0,358,10,2.79,1.33 (0.64-2.01),348,97.21,3.96 (3.77-4.15)
connective tissue cells 21,100.0,0.392,94.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.184,74.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,81.0,0.175,25.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,44.0,0.304,56.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,752.0,0.176,85.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,309.0,0.164,75.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,346.0,0.131,37.0,43,2,4.65,5.32 (3.83-6.82),41,95.35,3.68 (3.16-4.19)
oligodendrocytes 3,854.0,0.059,14.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,347.0,0.131,12.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
