tipo_celular,module_size,PRCC_MM,PRCC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.089,12.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,1656.0,0.105,33.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,17,4.82,1.49 (0.90-2.09),336,95.18,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,1069.0,0.208,79.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,71.0,0.101,25.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.077,10.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,348.0,0.029,5.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.14,51.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.032,4.0,83,2,2.41,0.87 (NA-NA),81,97.59,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.033,4.0,276,11,3.99,1.91 (1.29-2.52),265,96.01,3.62 (3.40-3.84)
oligodendrocytes 10,2107.0,0.049,5.0,358,21,5.87,1.49 (0.98-2.00),337,94.13,4.04 (3.86-4.23)
connective tissue cells 21,84.0,0.279,68.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,367.0,0.248,95.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,151.0,0.283,94.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.319,47.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.118,11.0,104,12,11.54,1.79 (1.09-2.49),92,88.46,2.99 (2.69-3.28)
oligodendrocytes 0,2078.0,0.134,87.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.072,24.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.142,49.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
