tipo_celular,module_size,PLXNB1_MM,PLXNB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.089,4.0,98,16,16.33,5.38 (3.88-6.87),82,83.67,4.45 (4.06-4.84)
oligodendrocyte progenitor cells 7,200.0,0.136,32.0,16,4,25.0,4.45 (2.07-6.84),12,75.0,3.72 (2.99-4.44)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.153,63.0,169,4,2.37,1.33 (0.15-2.51),165,97.63,3.54 (3.33-3.76)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.152,82.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,708.0,0.063,25.0,32,5,15.62,3.41 (0.98-5.83),27,84.38,3.21 (2.35-4.07)
oligodendrocytes 10,1277.0,0.124,61.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.065,36.0,4,2,50.0,4.20 (2.94-5.47),2,50.0,0.95 (NA-NA)
oligodendrocytes 16,91.0,0.162,20.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.32,81.0,7,1,14.29,7.18 (NA-NA),6,85.71,4.37 (3.67-5.07)
astrocytes 4,251.0,0.171,55.0,34,3,8.82,3.12 (1.75-4.49),31,91.18,5.54 (4.96-6.12)
oligodendrocytes 0,613.0,0.094,6.0,127,1,0.79,2.74 (NA-NA),126,99.21,3.05 (2.64-3.47)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.055,13.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.09,3.0,175,5,2.86,2.73 (1.38-4.08),170,97.14,4.45 (4.10-4.81)
