tipo_celular,module_size,GRK5_MM,GRK5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.221,65.0,102,32,31.37,2.89 (2.34-3.43),70,68.63,3.77 (3.32-4.23)
T cells 18,477.0,0.367,99.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,41,11.61,2.23 (1.81-2.66),312,88.39,4.15 (3.97-4.34)
GABA neurons expressing GLU receptors 22,823.0,0.146,29.0,23,8,34.78,3.34 (2.45-4.23),15,65.22,1.80 (0.90-2.69)
GLU like neurons 17,685.0,0.019,1.0,135,31,22.96,2.82 (2.23-3.42),104,77.04,3.31 (2.95-3.66)
da like neurons 11,172.0,0.314,76.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.265,61.0,62,2,3.23,NA,60,96.77,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.277,97.0,74,3,4.05,2.53 (NA-NA),71,95.95,2.95 (2.57-3.33)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.097,72.0,276,31,11.23,2.55 (2.12-2.99),245,88.77,3.70 (3.46-3.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147.0,0.246,54.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,57.0,0.303,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.147,88.0,161,33,20.5,2.21 (1.69-2.73),128,79.5,3.59 (3.30-3.87)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
