tipo_celular,module_size,DIXDC1_MM,DIXDC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.244,86.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.237,83.0,127,7,5.51,1.72 (1.13-2.30),120,94.49,4.02 (3.69-4.35)
GABA neurons expressing GLU receptors 22,567.0,0.451,94.0,16,2,12.5,1.95 (NA-NA),14,87.5,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.108,36.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,408.0,0.101,22.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.241,59.0,74,1,1.35,NA,73,98.65,5.46 (4.91-6.02)
oligodendrocytes 20,938.0,0.165,68.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74)
GABA like neurons 14,2090.0,0.137,38.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.23,95.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,708.0,0.243,83.0,25,2,8.0,0.21 (NA-NA),23,92.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.139,68.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.288,58.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,367.0,0.063,16.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,82.0,0.097,3.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398.0,0.124,38.0,138,9,6.52,1.48 (0.68-2.28),129,93.48,5.07 (4.72-5.42)
astrocytes microglia 23,115.0,0.267,21.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.328,90.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,1186.0,0.14,41.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.193,89.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,804.0,0.115,10.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09)
