tipo_celular,module_size,FBXO3_MM,FBXO3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.179,66.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35)
astrocytes 5,1656.0,0.125,65.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,45,12.75,2.46 (2.04-2.88),308,87.25,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,703.0,0.172,42.0,23,4,17.39,2.83 (1.50-4.16),19,82.61,1.93 (1.11-2.74)
GLU like neurons 17,1316.0,0.09,19.0,101,3,2.97,3.74 (2.50-4.98),98,97.03,3.03 (2.67-3.39)
da like neurons 11,1220.0,0.071,4.0,410,15,3.66,3.03 (2.42-3.64),395,96.34,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,75.0,0.228,87.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,1653.0,0.066,5.0,297,9,3.03,3.79 (2.84-4.74),288,96.97,3.67 (3.46-3.88)
oligodendrocytes 20,330.0,0.209,61.0,36,8,22.22,2.41 (1.81-3.01),28,77.78,1.77 (1.37-2.17)
GABA like neurons 14,3052.0,0.182,84.0,125,6,4.8,3.72 (2.99-4.46),119,95.2,3.34 (3.01-3.67)
astrocytes 8,520.0,0.053,16.0,288,13,4.51,2.90 (2.23-3.58),275,95.49,4.25 (4.05-4.46)
oligodendrocyte progenitor cells 12,3303.0,0.119,89.0,276,35,12.68,2.82 (2.41-3.24),241,87.32,3.67 (3.43-3.91)
oligodendrocytes 10,806.0,0.13,40.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,136.0,0.366,82.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768.0,0.112,72.0,105,31,29.52,2.74 (2.29-3.19),74,70.48,3.43 (3.00-3.87)
oligodendrocytes 16,85.0,0.171,22.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.136,74.0,122,19,15.57,2.52 (1.84-3.20),103,84.43,4.36 (3.94-4.79)
astrocytes microglia 23,125.0,0.355,74.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.166,86.0,104,27,25.96,2.27 (1.83-2.72),77,74.04,3.09 (2.76-3.43)
oligodendrocytes 0,2078.0,0.142,95.0,238,12,5.04,3.15 (2.29-4.01),226,94.96,3.66 (3.43-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.082,51.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.15,67.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
