tipo_celular,module_size,SCN1B_MM,SCN1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.19,37.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.126,52.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.378,97.0,118,19,16.1,4.29 (3.66-4.91),99,83.9,4.84 (4.43-5.25)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.17,42.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.387,78.0,455,4,0.88,1.97 (0.40-3.54),451,99.12,4.37 (4.18-4.56)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.081,32.0,129,1,0.78,4.70 (NA-NA),128,99.22,3.42 (3.02-3.81)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.216,60.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.415,94.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.142,33.0,252,7,2.78,2.61 (1.22-4.00),245,97.22,4.15 (3.89-4.40)
microglia 1,406.0,0.096,14.0,278,3,1.08,3.33 (2.20-4.46),275,98.92,4.38 (4.10-4.65)
oligodendrocytes 3,303.0,0.08,21.0,154,1,0.65,4.70 (NA-NA),153,99.35,3.61 (3.29-3.93)
oligodendrocytes 2,528.0,0.191,44.0,175,11,6.29,3.17 (2.38-3.96),164,93.71,4.51 (4.14-4.88)
