tipo_celular,module_size,STX6_MM,STX6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.091,7.0,102,13,12.75,2.64 (1.93-3.35),89,87.25,3.63 (3.23-4.03)
T cells 18,388.0,0.089,13.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1656.0,0.116,50.0,136,5,3.68,3.52 (3.00-4.05),131,96.32,3.19 (2.91-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,52,14.73,3.02 (2.55-3.49),301,85.27,4.09 (3.90-4.29)
GABA neurons expressing GLU receptors 22,703.0,0.125,17.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,142.0,0.312,74.0,2,1,50.0,4.56 (NA-NA),1,50.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.202,60.0,141,12,8.51,3.34 (2.23-4.46),129,91.49,2.92 (2.68-3.16)
oligodendrocytes 20,676.0,0.064,29.0,110,6,5.45,1.60 (0.91-2.28),104,94.55,5.27 (4.86-5.69)
GABA like neurons 14,2090.0,0.087,8.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.026,2.0,83,2,2.41,0.87 (NA-NA),81,97.59,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.058,24.0,276,31,11.23,2.83 (2.41-3.25),245,88.77,3.66 (3.42-3.90)
oligodendrocytes 10,2107.0,0.183,63.0,358,46,12.85,2.79 (2.27-3.30),312,87.15,4.09 (3.89-4.28)
connective tissue cells 21,73.0,0.21,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.226,89.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,78.0,0.156,23.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.256,23.0,120,18,15.0,2.32 (1.67-2.96),102,85.0,3.90 (3.59-4.21)
astrocytes 4,1807.0,0.147,56.0,104,21,20.19,2.59 (2.04-3.15),83,79.81,2.94 (2.61-3.26)
oligodendrocytes 0,479.0,0.123,26.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,958.0,0.146,88.0,290,17,5.86,3.12 (2.29-3.94),273,94.14,3.87 (3.63-4.11)
oligodendrocytes 3,1003.0,0.108,62.0,111,1,0.9,6.67 (NA-NA),110,99.1,3.27 (2.93-3.61)
oligodendrocytes 2,348.0,0.113,6.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
