tipo_celular,module_size,ELOVL6_MM,ELOVL6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.137,34.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.084,9.0,136,8,5.88,3.51 (2.59-4.43),128,94.12,3.19 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,24,6.8,1.51 (1.09-1.93),329,93.2,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.156,26.0,262,14,5.34,2.67 (1.90-3.43),248,94.66,4.28 (4.03-4.53)
GLU like neurons 17,637.0,0.096,19.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51)
da like neurons 11,153.0,0.336,81.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,90.0,0.119,18.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.154,64.0,169,13,7.69,2.85 (2.07-3.63),156,92.31,3.55 (3.32-3.77)
GABA like neurons 14,3052.0,0.25,100.0,125,3,2.4,3.43 (3.18-3.68),122,97.6,3.35 (3.02-3.68)
astrocytes 8,727.0,0.156,75.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,3303.0,0.117,88.0,276,21,7.61,2.02 (1.58-2.46),255,92.39,3.71 (3.49-3.94)
oligodendrocytes 10,483.0,0.092,38.0,129,1,0.78,6.60 (NA-NA),128,99.22,3.40 (3.01-3.79)
connective tissue cells 21,111.0,0.282,53.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.063,28.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,199.0,0.178,60.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,228.0,0.103,57.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,86.0,0.215,4.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA
astrocytes 4,721.0,0.125,10.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,309.0,0.151,69.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.122,69.0,15,6,40.0,1.20 (0.31-2.09),9,60.0,5.12 (3.78-6.47)
oligodendrocytes 2,804.0,0.199,88.0,84,7,8.33,1.65 (0.72-2.58),77,91.67,2.81 (2.46-3.16)
