tipo_celular,module_size,PRKCB_MM,PRKCB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.276,84.0,73,16,21.92,3.96 (3.69-4.22),57,78.08,3.42 (2.97-3.88)
T cells 18,610.0,0.096,12.0,98,46,46.94,2.47 (2.07-2.88),52,53.06,3.79 (3.39-4.19)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,78,22.1,2.50 (2.22-2.77),275,77.9,4.41 (4.22-4.60)
GABA neurons expressing GLU receptors 22,459.0,0.131,36.0,165,16,9.7,2.73 (2.14-3.33),149,90.3,5.45 (5.11-5.78)
GLU like neurons 17,300.0,0.186,49.0,16,6,37.5,3.11 (2.19-4.02),10,62.5,1.31 (0.24-2.38)
da like neurons 11,215.0,0.365,93.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,238.0,0.155,45.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,586.0,0.183,43.0,62,4,6.45,4.20 (0.72-7.68),58,93.55,4.04 (3.59-4.49)
oligodendrocytes 20,275.0,0.247,68.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,1300.0,0.183,38.0,306,50,16.34,3.17 (2.78-3.57),256,83.66,5.68 (5.42-5.94)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.073,42.0,276,60,21.74,2.60 (2.31-2.90),216,78.26,3.90 (3.64-4.16)
oligodendrocytes 10,2107.0,0.362,95.0,358,85,23.74,2.42 (2.16-2.69),273,76.26,4.46 (4.27-4.65)
connective tissue cells 21,84.0,0.517,99.0,4,3,75.0,4.34 (4.07-4.60),1,25.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,94.0,0.204,48.0,5,2,40.0,3.72 (3.59-3.84),3,60.0,2.06 (0.32-3.80)
da neurons 6,518.0,0.088,25.0,122,29,23.77,2.29 (1.76-2.81),93,76.23,4.55 (4.13-4.97)
astrocytes microglia 23,253.0,0.288,72.0,47,9,19.15,2.96 (2.10-3.82),38,80.85,2.81 (2.46-3.17)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,187.0,0.093,6.0,14,1,7.14,NA,13,92.86,5.53 (4.92-6.14)
microglia 1,813.0,0.174,87.0,79,1,1.27,4.05 (NA-NA),78,98.73,3.09 (2.68-3.49)
oligodendrocytes 3,187.0,0.102,47.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.202,63.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
