tipo_celular,module_size,ATP6V1G1_MM,ATP6V1G1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.092,9.0,97,1,1.03,2.86 (NA-NA),96,98.97,3.06 (2.66-3.45)
T cells 18,506.0,0.141,31.0,225,11,4.89,2.51 (1.49-3.54),214,95.11,3.66 (3.40-3.91)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.215,74.0,164,14,8.54,4.16 (3.40-4.91),150,91.46,4.08 (3.72-4.43)
GABA neurons expressing GLU receptors 22,487.0,0.375,89.0,73,1,1.37,2.68 (NA-NA),72,98.63,2.76 (2.37-3.15)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.495,97.0,410,38,9.27,4.08 (3.43-4.73),372,90.73,4.26 (4.07-4.46)
GABA neurons expressing GABA receptors 13,417.0,0.204,73.0,213,25,11.74,2.15 (1.43-2.87),188,88.26,3.99 (3.75-4.23)
endothelial cells 9,916.0,0.331,76.0,302,7,2.32,2.68 (1.49-3.86),295,97.68,4.02 (3.80-4.25)
oligodendrocytes 20,322.0,0.072,23.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.653,97.0,455,41,9.01,3.35 (2.58-4.12),414,90.99,4.45 (4.26-4.63)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.13,68.0,235,16,6.81,3.74 (3.28-4.20),219,93.19,3.83 (3.58-4.08)
oligodendrocytes 10,806.0,0.365,87.0,261,28,10.73,4.00 (3.40-4.61),233,89.27,4.41 (4.15-4.67)
connective tissue cells 21,125.0,0.348,71.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.267,66.0,291,40,13.75,4.48 (3.92-5.04),251,86.25,4.30 (4.05-4.54)
da neurons 6,729.0,0.237,85.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,134.0,0.401,86.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,116.0,0.122,33.0,169,13,7.69,5.22 (4.40-6.04),156,92.31,4.20 (3.89-4.51)
microglia 1,214.0,0.22,62.0,227,31,13.66,4.39 (3.82-4.95),196,86.34,4.05 (3.79-4.30)
oligodendrocytes 3,457.0,0.187,77.0,345,42,12.17,4.54 (4.01-5.08),303,87.83,4.23 (4.01-4.46)
oligodendrocytes 2,526.0,0.194,27.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
