tipo_celular,module_size,GATAD1_MM,GATAD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.087,7.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,282.0,0.197,67.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1141.0,0.108,21.0,166,10,6.02,2.46 (1.51-3.42),156,93.98,3.46 (3.21-3.72)
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,16,4.53,1.86 (1.12-2.59),337,95.47,4.02 (3.83-4.20)
GABA neurons expressing GLU receptors 22,599.0,0.285,82.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.016,0.0,135,1,0.74,1.18 (NA-NA),134,99.26,3.21 (2.90-3.51)
da like neurons 11,408.0,0.142,41.0,25,4,16.0,1.67 (0.59-2.75),21,84.0,5.35 (3.94-6.76)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.105,15.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,295.0,0.251,75.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.12,34.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.147,54.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.122,90.0,276,6,2.17,2.44 (1.78-3.10),270,97.83,3.57 (3.35-3.80)
oligodendrocytes 10,1277.0,0.146,71.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,90.0,0.293,53.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,458.0,0.123,65.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,69.0,0.244,65.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.227,9.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,721.0,0.167,78.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,1186.0,0.137,36.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.139,83.0,161,13,8.07,1.66 (0.87-2.46),148,91.93,3.45 (3.18-3.72)
oligodendrocytes 3,639.0,0.084,40.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,804.0,0.113,9.0,84,5,5.95,2.58 (0.86-4.30),79,94.05,2.70 (2.36-3.04)
