tipo_celular,module_size,NAGLU_MM,NAGLU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.099,10.0,19,3,15.79,4.03 (4.03-4.03),16,84.21,2.24 (1.46-3.01)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.088,12.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.1,10.0,353,18,5.1,1.56 (1.00-2.11),335,94.9,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.063,20.0,169,12,7.1,3.08 (2.14-4.03),157,92.9,3.51 (3.28-3.73)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.074,41.0,66,11,16.67,1.67 (0.76-2.59),55,83.33,3.60 (3.19-4.00)
oligodendrocyte progenitor cells 12,3303.0,0.026,1.0,276,11,3.99,2.25 (1.64-2.86),265,96.01,3.61 (3.39-3.84)
oligodendrocytes 10,1277.0,0.055,14.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,112.0,0.312,81.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,1401.0,0.073,37.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,74.0,0.234,79.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,70.0,0.341,56.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,1807.0,0.153,66.0,104,13,12.5,1.96 (1.32-2.60),91,87.5,3.00 (2.70-3.30)
oligodendrocytes 0,2078.0,0.088,8.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,346.0,0.111,22.0,43,3,6.98,6.97 (6.90-7.04),40,93.02,3.48 (3.05-3.92)
oligodendrocytes 3,681.0,0.05,7.0,87,11,12.64,1.78 (1.14-2.42),76,87.36,2.71 (2.42-3.00)
oligodendrocytes 2,1630.0,0.128,24.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
