tipo_celular,module_size,FOXRED1_MM,FOXRED1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.131,76.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,16,4.53,1.43 (0.96-1.90),337,95.47,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,599.0,0.17,29.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316.0,0.173,85.0,101,3,2.97,2.50 (2.08-2.91),98,97.03,3.07 (2.71-3.44)
da like neurons 11,168.0,0.117,52.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.026,6.0,110,2,1.82,1.99 (1.51-2.46),108,98.18,5.07 (4.63-5.52)
GABA like neurons 14,2402.0,0.185,36.0,455,24,5.27,2.65 (1.86-3.44),431,94.73,4.47 (4.28-4.65)
astrocytes 8,603.0,0.059,33.0,89,3,3.37,2.76 (1.99-3.54),86,96.63,2.76 (2.39-3.13)
oligodendrocyte progenitor cells 12,1049.0,0.057,22.0,235,7,2.98,2.51 (1.67-3.34),228,97.02,3.87 (3.63-4.10)
oligodendrocytes 10,483.0,0.056,13.0,129,1,0.78,3.55 (NA-NA),128,99.22,3.43 (3.03-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.235,91.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,90.0,0.236,61.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.314,43.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,1807.0,0.179,97.0,104,3,2.88,1.09 (-0.33-2.51),101,97.12,2.92 (2.64-3.20)
oligodendrocytes 0,2078.0,0.089,9.0,238,3,1.26,1.65 (0.22-3.08),235,98.74,3.67 (3.45-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.07,33.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.154,76.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
