tipo_celular,module_size,GADD45GIP1_MM,GADD45GIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.211,60.0,410,16,3.9,2.24 (1.85-2.63),394,96.1,4.36 (4.17-4.55)
GABA neurons expressing GABA receptors 13,417.0,0.121,19.0,213,35,16.43,1.86 (1.52-2.20),178,83.57,4.28 (4.06-4.51)
endothelial cells 9,916.0,0.345,78.0,302,20,6.62,2.69 (2.26-3.11),282,93.38,4.11 (3.87-4.35)
oligodendrocytes 20,271.0,0.122,22.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.454,85.0,455,37,8.13,1.96 (1.62-2.31),418,91.87,4.65 (4.47-4.82)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.181,83.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,75.0,0.252,82.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.163,57.0,182,15,8.24,2.75 (2.23-3.26),167,91.76,3.74 (3.47-4.01)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.176,54.0,252,30,11.9,1.69 (1.37-2.02),222,88.1,4.54 (4.31-4.77)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.134,49.0,154,4,2.6,3.11 (2.68-3.54),150,97.4,3.64 (3.31-3.96)
oligodendrocytes 2,526.0,0.267,51.0,213,8,3.76,2.71 (2.35-3.06),205,96.24,4.04 (3.76-4.33)
