tipo_celular,module_size,GRIN2B_MM,GRIN2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.112,39.0,219,84,38.36,5.05 (4.68-5.42),135,61.64,5.34 (4.92-5.76)
GABA neurons expressing GLU receptors 22,459.0,0.26,83.0,165,77,46.67,4.48 (4.00-4.96),88,53.33,5.65 (5.19-6.10)
GLU like neurons 17,489.0,0.141,53.0,42,23,54.76,5.29 (4.82-5.77),19,45.24,6.91 (5.98-7.84)
da like neurons 11,265.0,0.33,93.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,200.0,0.214,85.0,34,5,14.71,5.75 (3.43-8.07),29,85.29,3.61 (2.70-4.51)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.176,35.0,306,116,37.91,4.29 (3.93-4.65),190,62.09,5.80 (5.47-6.13)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,218.0,0.409,96.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.239,91.0,124,3,2.42,3.67 (0.11-7.23),121,97.58,4.20 (3.81-4.59)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
