tipo_celular,module_size,ZNFX1_MM,ZNFX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.186,65.0,97,3,3.09,2.56 (1.98-3.14),94,96.91,3.07 (2.67-3.47)
T cells 18,477.0,0.156,45.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.116,51.0,136,7,5.15,2.28 (1.15-3.41),129,94.85,3.27 (2.99-3.54)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.181,47.0,23,3,13.04,2.06 (0.90-3.21),20,86.96,2.10 (1.29-2.91)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,94.0,0.068,9.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.133,72.0,275,44,16.0,2.22 (1.75-2.69),231,84.0,4.43 (4.17-4.69)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.089,12.0,125,2,1.6,3.67 (2.70-4.65),123,98.4,3.35 (3.02-3.68)
astrocytes 8,1266.0,0.04,6.0,66,15,22.73,1.47 (0.89-2.05),51,77.27,3.85 (3.47-4.23)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,110.0,0.305,70.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94)
astrocytes 15,377.0,0.116,22.0,14,4,28.57,0.80 (0.19-1.40),10,71.43,3.03 (1.31-4.75)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.254,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.162,81.0,104,18,17.31,1.53 (1.11-1.94),86,82.69,3.17 (2.88-3.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.184,47.0,163,7,4.29,3.71 (3.27-4.15),156,95.71,3.71 (3.43-3.99)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
