tipo_celular,module_size,CD9_MM,CD9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.185,71.0,80,2,2.5,2.78 (-0.63-6.19),78,97.5,3.42 (2.94-3.90)
oligodendrocyte progenitor cells 7,628.0,0.257,84.0,164,16,9.76,4.50 (3.58-5.43),148,90.24,4.03 (3.68-4.38)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.215,53.0,302,14,4.64,2.65 (1.76-3.55),288,95.36,4.04 (3.81-4.27)
oligodendrocytes 20,938.0,0.204,82.0,169,24,14.2,2.98 (2.29-3.66),145,85.8,3.55 (3.32-3.78)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.159,57.0,48,5,10.42,3.49 (-1.81-8.80),43,89.58,4.48 (3.72-5.24)
oligodendrocyte progenitor cells 12,1049.0,0.162,78.0,235,15,6.38,3.35 (2.77-3.92),220,93.62,3.85 (3.61-4.09)
oligodendrocytes 10,1277.0,0.127,63.0,27,2,7.41,7.31 (5.40-9.21),25,92.59,5.17 (4.28-6.06)
connective tissue cells 21,250.0,0.259,35.0,117,26,22.22,3.98 (3.40-4.56),91,77.78,5.99 (5.56-6.41)
astrocytes 15,458.0,0.082,42.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,91.0,0.137,5.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.355,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.27,80.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,546.0,0.285,87.0,252,37,14.68,2.62 (1.93-3.32),215,85.32,4.32 (4.07-4.57)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.091,62.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.33,71.0,213,1,0.47,6.09 (NA-NA),212,99.53,3.97 (3.69-4.24)
