tipo_celular,module_size,NADSYN1_MM,NADSYN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.101,12.0,71,3,4.23,1.26 (0.15-2.37),68,95.77,2.69 (2.27-3.12)
T cells 18,727.0,0.071,3.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1656.0,0.089,13.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,1069.0,0.105,11.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637.0,0.086,16.0,91,5,5.49,1.38 (0.16-2.59),86,94.51,4.79 (4.28-5.30)
da like neurons 11,853.0,0.114,37.0,133,7,5.26,1.48 (0.68-2.28),126,94.74,3.37 (3.05-3.69)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.08,7.0,120,2,1.67,3.48 (3.47-3.49),118,98.33,4.63 (4.31-4.95)
oligodendrocytes 20,938.0,0.117,45.0,169,14,8.28,3.23 (2.50-3.96),155,91.72,3.51 (3.28-3.74)
GABA like neurons 14,2090.0,0.187,73.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38)
astrocytes 8,603.0,0.053,27.0,89,3,3.37,1.03 (0.73-1.32),86,96.63,2.84 (2.49-3.20)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.137,46.0,358,12,3.35,1.38 (0.82-1.95),346,96.65,3.98 (3.79-4.17)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.05,17.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,91.0,0.209,57.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,70.0,0.242,12.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,1807.0,0.14,42.0,104,9,8.65,1.32 (0.82-1.82),95,91.35,3.02 (2.74-3.31)
oligodendrocytes 0,2078.0,0.121,63.0,238,3,1.26,1.39 (0.07-2.70),235,98.74,3.67 (3.45-3.89)
microglia 1,813.0,0.083,10.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.063,19.0,15,4,26.67,1.25 (-0.07-2.56),11,73.33,3.93 (2.38-5.49)
oligodendrocytes 2,407.0,0.161,57.0,122,7,5.74,1.54 (0.72-2.37),115,94.26,3.47 (3.07-3.87)
