tipo_celular,module_size,CDC14A_MM,CDC14A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.168,23.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477.0,0.285,94.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.14,64.0,166,21,12.65,2.25 (1.75-2.75),145,87.35,3.56 (3.30-3.83)
oligodendrocyte progenitor cells 7,666.0,0.176,57.0,127,5,3.94,1.31 (0.80-1.82),122,96.06,3.99 (3.66-4.32)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.22,57.0,120,1,0.83,3.22 (NA-NA),119,99.17,4.62 (4.30-4.94)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,577.0,0.121,70.0,83,3,3.61,1.70 (0.08-3.32),80,96.39,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,3303.0,0.092,67.0,276,22,7.97,2.32 (1.84-2.80),254,92.03,3.66 (3.43-3.89)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.264,49.0,32,2,6.25,0.87 (NA-NA),30,93.75,5.26 (4.67-5.86)
astrocytes 15,367.0,0.143,49.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.267,41.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,514.0,0.146,26.0,95,3,3.16,0.90 (0.75-1.04),92,96.84,3.48 (3.05-3.90)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.153,91.0,290,11,3.79,1.72 (1.31-2.13),279,96.21,3.92 (3.69-4.15)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
