tipo_celular,module_size,SLC30A6_MM,SLC30A6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.292,89.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,282.0,0.211,76.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.131,75.0,136,2,1.47,3.46 (3.18-3.74),134,98.53,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.167,92.0,353,16,4.53,1.82 (0.98-2.65),337,95.47,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,823.0,0.162,40.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,380.0,0.134,25.0,39,3,7.69,2.47 (1.34-3.59),36,92.31,3.01 (2.42-3.61)
da like neurons 11,102.0,0.271,57.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.096,23.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348.0,0.073,36.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,1300.0,0.033,1.0,306,20,6.54,2.74 (2.17-3.31),286,93.46,5.35 (5.09-5.61)
astrocytes 8,262.0,0.036,2.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,9,3.26,2.07 (1.43-2.71),267,96.74,3.61 (3.39-3.83)
oligodendrocytes 10,2107.0,0.11,34.0,358,14,3.91,1.51 (0.59-2.44),344,96.09,3.99 (3.81-4.18)
connective tissue cells 21,100.0,0.262,46.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,458.0,0.034,7.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,61.0,0.239,70.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.402,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.172,93.0,104,6,5.77,1.69 (0.50-2.89),98,94.23,2.94 (2.66-3.22)
oligodendrocytes 0,2078.0,0.115,52.0,238,3,1.26,1.84 (0.07-3.60),235,98.74,3.66 (3.44-3.88)
microglia 1,813.0,0.103,32.0,79,3,3.8,2.53 (1.44-3.62),76,96.2,3.13 (2.71-3.54)
oligodendrocytes 3,854.0,0.067,21.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.143,52.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
