tipo_celular,module_size,ODR4_MM,ODR4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.234,67.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,282.0,0.238,88.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.138,84.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.186,99.0,353,6,1.7,2.60 (1.51-3.70),347,98.3,3.92 (3.73-4.11)
GABA neurons expressing GLU receptors 22,1069.0,0.116,17.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,380.0,0.147,32.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,142.0,0.221,48.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.119,44.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.139,39.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.191,88.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.051,19.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,1,0.36,2.00 (NA-NA),275,99.64,3.55 (3.33-3.77)
oligodendrocytes 10,2107.0,0.068,13.0,358,5,1.4,2.73 (1.42-4.03),353,98.6,3.88 (3.69-4.08)
connective tissue cells 21,93.0,0.357,92.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,338.0,0.179,69.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,81.0,0.155,35.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.334,76.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.194,100.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.126,75.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,958.0,0.104,40.0,290,4,1.38,3.22 (2.41-4.03),286,98.62,3.82 (3.59-4.06)
oligodendrocytes 3,854.0,0.073,29.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,921.0,0.132,41.0,200,1,0.5,2.00 (NA-NA),199,99.5,3.63 (3.36-3.90)
