tipo_celular,module_size,JOSD1_MM,JOSD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.148,44.0,71,1,1.41,3.22 (NA-NA),70,98.59,2.61 (2.19-3.03)
T cells 18,518.0,0.136,36.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,423.0,0.216,80.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.086,5.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,489.0,0.139,51.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,853.0,0.089,17.0,133,2,1.5,3.37 (3.07-3.67),131,98.5,3.25 (2.93-3.57)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.111,21.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,358.0,0.042,14.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.151,60.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,577.0,0.199,93.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.051,13.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,86.0,0.278,48.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,1401.0,0.068,33.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,78.0,0.175,37.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.338,53.0,120,5,4.17,1.59 (0.51-2.68),115,95.83,3.72 (3.43-4.02)
astrocytes 4,514.0,0.352,93.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078.0,0.112,45.0,238,5,2.1,2.87 (2.19-3.55),233,97.9,3.64 (3.42-3.87)
microglia 1,480.0,0.164,37.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,639.0,0.06,17.0,15,4,26.67,1.74 (0.40-3.08),11,73.33,4.01 (2.29-5.74)
oligodendrocytes 2,1630.0,0.139,45.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
