tipo_celular,module_size,KHDRBS3_MM,KHDRBS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.408,88.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.075,15.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,1069.0,0.221,85.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66)
GLU like neurons 17,1316.0,0.173,86.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,197.0,0.249,61.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,101.0,0.194,78.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,450.0,0.093,11.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,275.0,0.152,32.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.155,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.237,63.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,2107.0,0.192,66.0,358,52,14.53,2.12 (1.71-2.53),306,85.47,4.28 (4.10-4.45)
connective tissue cells 21,147.0,0.281,72.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.178,21.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.337,66.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.152,63.0,300,1,0.33,6.89 (NA-NA),299,99.67,3.78 (3.58-3.98)
microglia 1,315.0,0.285,87.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,854.0,0.184,98.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.162,86.0,200,14,7.0,3.89 (2.98-4.80),186,93.0,3.60 (3.32-3.88)
