tipo_celular,module_size,RAPGEF4_MM,RAPGEF4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.228,91.0,219,1,0.46,NA,218,99.54,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.193,64.0,165,8,4.85,1.89 (1.32-2.47),157,95.15,5.30 (4.98-5.63)
GLU like neurons 17,795.0,0.15,60.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,132.0,0.466,97.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,357.0,0.086,8.0,237,8,3.38,2.52 (2.06-2.99),229,96.62,4.48 (4.25-4.72)
endothelial cells 9,658.0,0.301,78.0,120,14,11.67,3.40 (2.46-4.33),106,88.33,4.76 (4.44-5.09)
oligodendrocytes 20,330.0,0.056,13.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,1300.0,0.186,40.0,306,22,7.19,2.67 (1.85-3.48),284,92.81,5.33 (5.07-5.58)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.419,91.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,1277.0,0.054,13.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,147.0,0.405,98.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,149.0,0.265,67.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,448.0,0.098,46.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,157.0,0.372,84.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.107,22.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.074,30.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,1630.0,0.091,1.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
