tipo_celular,module_size,HECTD2_MM,HECTD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.223,76.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.148,93.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,12,3.4,2.39 (1.43-3.35),341,96.6,3.93 (3.74-4.12)
GABA neurons expressing GLU receptors 22,823.0,0.196,61.0,23,1,4.35,3.22 (NA-NA),22,95.65,2.35 (1.59-3.11)
GLU like neurons 17,380.0,0.273,95.0,39,3,7.69,NA,36,92.31,2.97 (2.41-3.52)
da like neurons 11,172.0,0.32,78.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.14,60.0,297,7,2.36,3.04 (2.03-4.05),290,97.64,3.68 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.102,19.0,125,4,3.2,3.56 (NA-NA),121,96.8,3.35 (3.02-3.68)
astrocytes 8,1266.0,0.048,13.0,66,4,6.06,2.59 (1.47-3.72),62,93.94,3.27 (2.83-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.078,49.0,276,7,2.54,2.87 (2.19-3.55),269,97.46,3.55 (3.33-3.77)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.515,100.0,26,8,30.77,2.92 (2.29-3.55),18,69.23,2.45 (1.69-3.22)
astrocytes 15,1768.0,0.092,55.0,105,3,2.86,2.81 (2.40-3.22),102,97.14,3.23 (2.88-3.57)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.316,43.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,1807.0,0.165,85.0,104,3,2.88,2.81 (2.40-3.22),101,97.12,2.86 (2.57-3.15)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.146,87.0,161,12,7.45,2.39 (1.43-3.35),149,92.55,3.32 (3.05-3.60)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
