tipo_celular,module_size,MED10_MM,MED10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.1,21.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.118,15.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.167,46.0,410,6,1.46,2.31 (1.27-3.35),404,98.54,4.29 (4.10-4.47)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.129,25.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,938.0,0.236,88.0,169,5,2.96,1.33 (0.42-2.25),164,97.04,3.56 (3.35-3.77)
GABA like neurons 14,2402.0,0.376,77.0,455,23,5.05,1.65 (1.19-2.11),432,94.95,4.54 (4.37-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.058,23.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,806.0,0.145,45.0,261,2,0.77,3.06 (2.73-3.39),259,99.23,4.38 (4.13-4.62)
connective tissue cells 21,85.0,0.45,96.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,65.0,0.26,75.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.142,44.0,182,5,2.75,1.99 (1.28-2.69),177,97.25,3.69 (3.44-3.95)
astrocytes microglia 23,101.0,0.268,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.067,1.0,238,19,7.98,3.07 (2.49-3.64),219,92.02,3.70 (3.46-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.055,11.0,345,6,1.74,2.66 (2.05-3.28),339,98.26,4.31 (4.10-4.52)
oligodendrocytes 2,526.0,0.179,23.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
