tipo_celular,module_size,LAMB2_MM,LAMB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.134,32.0,128,1,0.78,2.97 (NA-NA),127,99.22,3.57 (3.23-3.92)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.187,43.0,302,8,2.65,2.79 (1.85-3.72),294,97.35,4.03 (3.80-4.26)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.131,77.0,89,1,1.12,2.97 (NA-NA),88,98.88,2.76 (2.40-3.11)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301.0,0.343,44.0,158,10,6.33,3.23 (2.18-4.29),148,93.67,4.36 (3.97-4.74)
astrocytes 15,458.0,0.043,13.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.336,66.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.159,76.0,104,9,8.65,1.63 (0.86-2.39),95,91.35,2.99 (2.70-3.28)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
