tipo_celular,module_size,WDR7_MM,WDR7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.136,34.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624,0.119,24.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.136,58.0,166,0,0.0,NA,166,100.0,3.39 (3.14-3.64)
oligodendrocyte progenitor cells 7,448,0.152,58.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599,0.158,25.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,795,0.145,57.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,209,0.462,97.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,90,0.161,48.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,1653,0.153,69.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,322,0.206,78.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300,0.168,30.0,306,0,0.0,NA,306,100.0,5.09 (4.83-5.36)
astrocytes 8,140,0.274,86.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,103,0.432,32.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,130,0.352,39.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,90,0.194,3.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,377,0.132,35.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,112,0.161,37.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,307,0.165,80.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,190,0.155,2.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,752,0.15,45.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.148,56.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.131,77.0,161,2,1.24,0.61 (-0.07-1.28),159,98.76,3.31 (3.05-3.58)
oligodendrocytes 3,1003,0.118,70.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.168,67.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05)
