tipo_celular,module_size,PROX1_MM,PROX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.275,89.0,127,23,18.11,4.18 (3.41-4.94),104,81.89,3.71 (3.34-4.08)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.137,33.0,36,16,44.44,2.06 (1.76-2.36),20,55.56,1.79 (1.19-2.40)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.137,62.0,25,3,12.0,2.57 (-0.32-5.47),22,88.0,2.92 (1.85-3.98)
oligodendrocytes 10,1277.0,0.166,79.0,27,2,7.41,7.31 (5.40-9.21),25,92.59,5.17 (4.28-6.06)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,82.0,0.159,35.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.164,61.0,40,6,15.0,5.24 (3.96-6.52),34,85.0,6.01 (5.45-6.57)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.157,87.0,111,2,1.8,5.15 (0.37-9.93),109,98.2,3.26 (2.93-3.60)
oligodendrocytes 2,804.0,0.159,57.0,84,10,11.9,2.14 (1.36-2.93),74,88.1,2.78 (2.42-3.15)
