tipo_celular,module_size,FRMPD4_MM,FRMPD4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.233,87.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,459.0,0.276,85.0,165,11,6.67,4.47 (1.94-6.99),154,93.33,5.10 (4.77-5.44)
GLU like neurons 17,795.0,0.347,96.0,80,1,1.25,6.49 (NA-NA),79,98.75,5.67 (5.25-6.09)
da like neurons 11,191.0,0.3,55.0,93,14,15.05,5.77 (4.77-6.78),79,84.95,5.63 (5.18-6.07)
GABA neurons expressing GABA receptors 13,90.0,0.208,83.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.181,37.0,306,25,8.17,4.02 (2.90-5.13),281,91.83,5.21 (4.95-5.47)
astrocytes 8,727.0,0.107,49.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.219,90.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.083,27.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,86.0,0.265,22.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,220.0,0.178,60.0,63,6,9.52,3.21 (1.28-5.15),57,90.48,5.30 (4.74-5.87)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
