tipo_celular,module_size,LHFPL2_MM,LHFPL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.4,87.0,140,4,2.86,2.97 (2.40-3.54),136,97.14,4.61 (4.32-4.90)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.114,57.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.15,73.0,353,11,3.12,1.13 (0.59-1.66),342,96.88,4.01 (3.82-4.19)
GABA neurons expressing GLU receptors 22,192.0,0.105,31.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,685.0,0.067,10.0,135,7,5.19,1.87 (1.09-2.65),128,94.81,3.28 (2.96-3.59)
da like neurons 11,137.0,0.28,50.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.198,48.0,120,6,5.0,2.90 (2.52-3.27),114,95.0,4.71 (4.39-5.03)
oligodendrocytes 20,676.0,0.068,30.0,110,5,4.55,2.06 (0.90-3.22),105,95.45,5.19 (4.76-5.63)
GABA like neurons 14,3052.0,0.158,66.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.103,47.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.064,32.0,276,4,1.45,1.40 (0.60-2.20),272,98.55,3.58 (3.37-3.80)
oligodendrocytes 10,2107.0,0.365,96.0,358,11,3.07,0.82 (0.49-1.15),347,96.93,3.99 (3.81-4.18)
connective tissue cells 21,183.0,0.425,91.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1768.0,0.102,65.0,105,4,3.81,1.62 (0.89-2.34),101,96.19,3.28 (2.94-3.62)
oligodendrocytes 16,156.0,0.32,94.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.388,78.0,99,4,4.04,2.97 (2.40-3.54),95,95.96,4.36 (4.02-4.70)
astrocytes 4,787.0,0.136,23.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,187.0,0.288,89.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,315.0,0.251,80.0,144,4,2.78,2.97 (2.40-3.54),140,97.22,4.51 (4.20-4.82)
oligodendrocytes 3,681.0,0.152,86.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94)
oligodendrocytes 2,1630.0,0.109,6.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
