tipo_celular,module_size,THAP4_MM,THAP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.102,28.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.122,29.0,353,20,5.67,1.47 (0.98-1.96),333,94.33,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,823.0,0.047,1.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.052,1.0,410,2,0.49,1.99 (-0.83-4.80),408,99.51,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.174,32.0,455,16,3.52,1.33 (0.82-1.84),439,96.48,4.50 (4.32-4.67)
astrocytes 8,603.0,0.049,21.0,89,3,3.37,1.00 (0.76-1.24),86,96.63,2.85 (2.49-3.20)
oligodendrocyte progenitor cells 12,1049.0,0.053,18.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.05,14.0,105,11,10.48,1.48 (1.00-1.96),94,89.52,3.43 (3.09-3.78)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.34,57.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.141,43.0,104,14,13.46,1.67 (1.13-2.21),90,86.54,3.07 (2.77-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
