tipo_celular,module_size,FBXO31_MM,FBXO31_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.106,34.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.186,99.0,353,32,9.07,2.64 (2.18-3.10),321,90.93,4.06 (3.86-4.25)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.183,48.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.09,9.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.075,43.0,66,5,7.58,1.69 (0.48-2.90),61,92.42,3.37 (2.95-3.80)
oligodendrocyte progenitor cells 12,254.0,0.05,14.0,37,2,5.41,2.42 (2.37-2.47),35,94.59,4.64 (4.06-5.22)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.196,16.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,261.0,0.028,4.0,8,2,25.0,1.89 (-1.31-5.09),6,75.0,4.39 (1.96-6.83)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.508,100.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.143,47.0,104,16,15.38,2.06 (1.45-2.67),88,84.62,3.02 (2.72-3.33)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
