tipo_celular,module_size,SIRT7_MM,SIRT7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.143,50.0,49,6,12.24,4.06 (3.15-4.97),43,87.76,2.18 (1.80-2.56)
astrocytes 5,1656.0,0.097,23.0,136,9,6.62,3.10 (1.78-4.42),127,93.38,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.12,26.0,74,17,22.97,2.34 (2.05-2.62),57,77.03,3.13 (2.65-3.60)
astrocytes 8,603.0,0.055,30.0,89,9,10.11,1.86 (1.11-2.61),80,89.89,2.90 (2.53-3.28)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.043,11.0,96,12,12.5,3.07 (2.06-4.08),84,87.5,3.71 (3.21-4.21)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.315,50.0,1,1,100.0,6.31 (NA-NA),0,0.0,NA
astrocytes 4,1807.0,0.139,40.0,104,34,32.69,2.11 (1.75-2.46),70,67.31,3.24 (2.89-3.59)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
