tipo_celular,module_size,NDUFA12_MM,NDUFA12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.163,49.0,164,29,17.68,3.80 (3.39-4.21),135,82.32,4.16 (3.76-4.56)
GABA neurons expressing GLU receptors 22,400.0,0.161,28.0,24,13,54.17,1.47 (0.92-2.03),11,45.83,2.96 (2.33-3.59)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.157,41.0,410,67,16.34,3.62 (3.40-3.85),343,83.66,4.42 (4.19-4.64)
GABA neurons expressing GABA receptors 13,417.0,0.152,45.0,213,76,35.68,3.24 (2.92-3.57),137,64.32,4.17 (3.83-4.51)
endothelial cells 9,559.0,0.266,77.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.384,78.0,455,68,14.95,3.30 (2.97-3.64),387,85.05,4.59 (4.39-4.80)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.197,84.0,235,49,20.85,3.88 (3.65-4.11),186,79.15,3.80 (3.51-4.10)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.179,64.0,182,17,9.34,3.71 (3.18-4.24),165,90.66,3.63 (3.35-3.90)
astrocytes microglia 23,80.0,0.322,54.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
