tipo_celular,module_size,OGFOD1_MM,OGFOD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,47,13.31,2.00 (1.64-2.36),306,86.69,4.24 (4.07-4.42)
GABA neurons expressing GLU receptors 22,848.0,0.145,22.0,262,16,6.11,2.73 (1.82-3.63),246,93.89,4.27 (4.02-4.52)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.077,6.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,265.0,0.096,9.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.057,15.0,169,9,5.33,2.20 (1.26-3.15),160,94.67,3.57 (3.35-3.79)
GABA like neurons 14,2402.0,0.134,19.0,455,33,7.25,2.29 (1.71-2.88),422,92.75,4.55 (4.37-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.034,7.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,806.0,0.099,26.0,261,4,1.53,4.28 (2.11-6.45),257,98.47,4.37 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,107.0,0.267,81.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,228.0,0.081,26.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.088,8.0,238,7,2.94,2.37 (1.61-3.14),231,97.06,3.68 (3.46-3.91)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.072,37.0,76,3,3.95,5.34 (NA-NA),73,96.05,3.13 (2.73-3.52)
oligodendrocytes 2,1630.0,0.151,68.0,154,1,0.65,2.76 (NA-NA),153,99.35,3.25 (2.98-3.52)
