tipo_celular,module_size,CREB3L2_MM,CREB3L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.128,30.0,97,2,2.06,4.07 (0.53-7.62),95,97.94,3.03 (2.63-3.42)
T cells 18,610.0,0.075,5.0,98,31,31.63,1.81 (1.46-2.17),67,68.37,3.83 (3.51-4.15)
astrocytes 5,1141.0,0.126,41.0,166,33,19.88,2.02 (1.72-2.31),133,80.12,3.83 (3.56-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,50,14.16,1.94 (1.65-2.23),303,85.84,4.33 (4.16-4.50)
GABA neurons expressing GLU receptors 22,823.0,0.101,9.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,685.0,0.068,10.0,135,29,21.48,1.87 (1.57-2.17),106,78.52,3.64 (3.29-3.99)
da like neurons 11,140.0,0.25,59.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.302,78.0,54,1,1.85,5.15 (NA-NA),53,98.15,4.83 (4.19-5.47)
oligodendrocytes 20,295.0,0.215,60.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72)
GABA like neurons 14,3052.0,0.14,52.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.117,39.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.092,41.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107.0,0.115,36.0,358,59,16.48,1.88 (1.65-2.10),299,83.52,4.43 (4.25-4.60)
connective tissue cells 21,152.0,0.369,87.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1768.0,0.136,87.0,105,17,16.19,1.61 (1.18-2.03),88,83.81,3.55 (3.20-3.91)
oligodendrocytes 16,84.0,0.177,47.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.215,6.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,787.0,0.137,24.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.166,84.0,300,7,2.33,2.85 (2.50-3.20),293,97.67,3.82 (3.61-4.03)
microglia 1,813.0,0.134,68.0,79,3,3.8,3.95 (1.88-6.03),76,96.2,3.06 (2.65-3.48)
oligodendrocytes 3,1003.0,0.133,77.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,348.0,0.206,55.0,114,7,6.14,3.22 (2.73-3.70),107,93.86,5.29 (4.87-5.72)
