tipo_celular,module_size,AMBRA1_MM,AMBRA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.222,47.0,98,6,6.12,1.44 (0.79-2.08),92,93.88,3.38 (2.89-3.88)
T cells 18,506,0.401,86.0,225,29,12.89,2.94 (2.50-3.38),196,87.11,3.76 (3.47-4.04)
astrocytes 5,328,0.101,17.0,128,1,0.78,3.77 (NA-NA),127,99.22,3.57 (3.22-3.91)
oligodendrocyte progenitor cells 7,448,0.137,48.0,108,2,1.85,3.55 (NA-NA),106,98.15,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,459,0.181,60.0,165,15,9.09,2.67 (2.11-3.22),150,90.91,5.43 (5.09-5.76)
GLU like neurons 17,637,0.181,59.0,91,21,23.08,2.28 (1.53-3.03),70,76.92,5.50 (5.05-5.95)
da like neurons 11,408,0.109,26.0,25,8,32.0,1.20 (0.74-1.66),17,68.0,6.45 (5.43-7.48)
GABA neurons expressing GABA receptors 13,67,0.199,69.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916,0.517,93.0,302,12,3.97,2.60 (1.75-3.45),290,96.03,4.06 (3.83-4.29)
oligodendrocytes 20,322,0.132,55.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.202,42.0,455,53,11.65,3.16 (2.59-3.73),402,88.35,4.55 (4.37-4.74)
astrocytes 8,603,0.066,42.0,89,5,5.62,1.82 (0.72-2.93),84,94.38,2.84 (2.47-3.20)
oligodendrocyte progenitor cells 12,1049,0.295,92.0,235,6,2.55,3.35 (2.08-4.61),229,97.45,3.84 (3.60-4.08)
oligodendrocytes 10,483,0.39,90.0,129,1,0.78,3.55 (NA-NA),128,99.22,3.43 (3.03-3.82)
connective tissue cells 21,145,0.187,5.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,458,0.077,39.0,36,4,11.11,4.73 (NA-NA),32,88.89,3.72 (2.59-4.86)
oligodendrocytes 16,155,0.193,35.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50)
da neurons 6,729,0.239,85.0,182,4,2.2,2.22 (1.48-2.95),178,97.8,3.68 (3.42-3.93)
astrocytes microglia 23,137,0.302,31.0,188,29,15.43,3.28 (2.60-3.96),159,84.57,4.62 (4.25-5.00)
astrocytes 4,721,0.069,0.0,61,10,16.39,3.53 (2.88-4.18),51,83.61,2.85 (2.37-3.32)
oligodendrocytes 0,546,0.119,20.0,252,39,15.48,2.49 (2.01-2.96),213,84.52,4.47 (4.21-4.72)
microglia 1,406,0.395,77.0,278,5,1.8,4.55 (3.96-5.14),273,98.2,4.36 (4.08-4.64)
oligodendrocytes 3,1003,0.059,11.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,526,0.117,7.0,213,5,2.35,3.76 (2.57-4.95),208,97.65,3.99 (3.71-4.27)
